its my life normal,,,,ïœçX,,,
,,,,,,,
3.058,3.1,"3.1f,",,2.2,"2.2f,",,0.1
3.534,3.5,"3.5f,",,2.6,"2.6f,",,
3.94,3.9,"3.9f,",,3,"3f,",,
4.418,4.4,"4.4f,",,3.5,"3.5f,",,
4.712,4.7,"4.7f,",,3.8,"3.8f,",,
5.412,5.4,"5.4f,",,4.5,"4.5f,",,
5.881,5.9,"5.9f,",,5,"5f,",,
6.363,6.4,"6.4f,",,5.5,"5.5f,",,
6.858,6.9,"6.9f,",,6,"6f,",,
7.145,7.1,"7.1f,",,6.2,"6.2f,",,
7.793,7.8,"7.8f,",,6.9,"6.9f,",,
8.302,8.3,"8.3f,",,7.4,"7.4f,",,
8.719,8.7,"8.7f,",,7.8,"7.8f,",,
9.264,9.3,"9.3f,",,8.4,"8.4f,",,
9.574,9.6,"9.6f,",,8.7,"8.7f,",,
10.293,10.3,"10.3f,",,9.4,"9.4f,",,
10.544,10.5,"10.5f,",,9.6,"9.6f,",,
10.884,10.9,"10.9f,",,10,"10f,",,
11.167,11.2,"11.2f,",,10.3,"10.3f,",,
11.456,11.5,"11.5f,",,10.6,"10.6f,",,
11.756,11.8,"11.8f,",,10.9,"10.9f,",,
12.056,12.1,"12.1f,",,11.2,"11.2f,",,
12.338,12.3,"12.3f,",,11.4,"11.4f,",,
12.668,12.7,"12.7f,",,11.8,"11.8f,",,
12.966,13,"13f,",,12.1,"12.1f,",,
13.163,13.2,"13.2f,",,12.3,"12.3f,",,
13.348,13.3,"13.3f,",,12.4,"12.4f,",,
13.583,13.6,"13.6f,",,12.7,"12.7f,",,
13.738,13.7,"13.7f,",,12.8,"12.8f,",,
13.901,13.9,"13.9f,",,13,"13f,",,
14.093,14.1,"14.1f,",,13.2,"13.2f,",,
14.336,14.3,"14.3f,",,13.4,"13.4f,",,
14.965,15,"15f,",,14.1,"14.1f,",,
15.281,15.3,"15.3f,",,14.4,"14.4f,",,
15.462,15.5,"15.5f,",,14.6,"14.6f,",,
15.644,15.6,"15.6f,",,14.7,"14.7f,",,
15.909,15.9,"15.9f,",,15,"15f,",,
16.091,16.1,"16.1f,",,15.2,"15.2f,",,
16.266,16.3,"16.3f,",,15.4,"15.4f,",,
16.45,16.5,"16.5f,",,15.6,"15.6f,",,
16.759,16.8,"16.8f,",,15.9,"15.9f,",,
17.462,17.5,"17.5f,",,16.6,"16.6f,",,
17.748,17.7,"17.7f,",,16.8,"16.8f,",,
17.921,17.9,"17.9f,",,17,"17f,",,
18.098,18.1,"18.1f,",,17.2,"17.2f,",,
18.348,18.3,"18.3f,",,17.4,"17.4f,",,
18.521,18.5,"18.5f,",,17.6,"17.6f,",,
18.706,18.7,"18.7f,",,17.8,"17.8f,",,
18.861,18.9,"18.9f,",,18,"18f,",,
19.124,19.1,"19.1f,",,18.2,"18.2f,",,
19.53,19.5,"19.5f,",,18.6,"18.6f,",,
19.848,19.8,"19.8f,",,18.9,"18.9f,",,
20.306,20.3,"20.3f,",,19.4,"19.4f,",,
20.781,20.8,"20.8f,",,19.9,"19.9f,",,
21.316,21.3,"21.3f,",,20.4,"20.4f,",,
21.639,21.6,"21.6f,",,20.7,"20.7f,",,
22.188,22.2,"22.2f,",,21.3,"21.3f,",,
22.519,22.5,"22.5f,",,21.6,"21.6f,",,
22.696,22.7,"22.7f,",,21.8,"21.8f,",,
22.878,22.9,"22.9f,",,22,"22f,",,
23.196,23.2,"23.2f,",,22.3,"22.3f,",,
23.358,23.4,"23.4f,",,22.5,"22.5f,",,
23.514,23.5,"23.5f,",,22.6,"22.6f,",,
23.683,23.7,"23.7f,",,22.8,"22.8f,",,
23.989,24,"24f,",,23.1,"23.1f,",,
24.616,24.6,"24.6f,",,23.7,"23.7f,",,
24.944,24.9,"24.9f,",,24,"24f,",,
25.135,25.1,"25.1f,",,24.2,"24.2f,",,
25.321,25.3,"25.3f,",,24.4,"24.4f,",,
25.571,25.6,"25.6f,",,24.7,"24.7f,",,
25.759,25.8,"25.8f,",,24.9,"24.9f,",,
25.918,25.9,"25.9f,",,25,"25f,",,
26.091,26.1,"26.1f,",,25.2,"25.2f,",,
26.346,26.3,"26.3f,",,25.4,"25.4f,",,
26.728,26.7,"26.7f,",,25.8,"25.8f,",,
27.076,27.1,"27.1f,",,26.2,"26.2f,",,
27.53,27.5,"27.5f,",,26.6,"26.6f,",,
27.995,28,"28f,",,27.1,"27.1f,",,
28.317,28.3,"28.3f,",,27.4,"27.4f,",,
28.721,28.7,"28.7f,",,27.8,"27.8f,",,
29.149,29.1,"29.1f,",,28.2,"28.2f,",,
29.469,29.5,"29.5f,",,28.6,"28.6f,",,
29.763,29.8,"29.8f,",,28.9,"28.9f,",,
29.926,29.9,"29.9f,",,29,"29f,",,
30.12,30.1,"30.1f,",,29.2,"29.2f,",,
30.364,30.4,"30.4f,",,29.5,"29.5f,",,
30.535,30.5,"30.5f,",,29.6,"29.6f,",,
30.693,30.7,"30.7f,",,29.8,"29.8f,",,
30.85,30.9,"30.9f,",,30,"30f,",,
31.151,31.2,"31.2f,",,30.3,"30.3f,",,
31.819,31.8,"31.8f,",,30.9,"30.9f,",,
32.171,32.2,"32.2f,",,31.3,"31.3f,",,
32.328,32.3,"32.3f,",,31.4,"31.4f,",,
32.529,32.5,"32.5f,",,31.6,"31.6f,",,
32.764,32.8,"32.8f,",,31.9,"31.9f,",,
32.946,32.9,"32.9f,",,32,"32f,",,
33.116,33.1,"33.1f,",,32.2,"32.2f,",,
33.274,33.3,"33.3f,",,32.4,"32.4f,",,
33.579,33.6,"33.6f,",,32.7,"32.7f,",,
34.196,34.2,"34.2f,",,33.3,"33.3f,",,
34.556,34.6,"34.6f,",,33.7,"33.7f,",,
34.749,34.7,"34.7f,",,33.8,"33.8f,",,
34.919,34.9,"34.9f,",,34,"34f,",,
35.196,35.2,"35.2f,",,34.3,"34.3f,",,
35.358,35.4,"35.4f,",,34.5,"34.5f,",,
35.531,35.5,"35.5f,",,34.6,"34.6f,",,
35.686,35.7,"35.7f,",,34.8,"34.8f,",,
35.961,36,"36f,",,35.1,"35.1f,",,
36.286,36.3,"36.3f,",,35.4,"35.4f,",,
36.646,36.6,"36.6f,",,35.7,"35.7f,",,
37.081,37.1,"37.1f,",,36.2,"36.2f,",,
37.846,37.8,"37.8f,",,36.9,"36.9f,",,
39.076,39.1,"39.1f,",,38.2,"38.2f,",,
39.349,39.3,"39.3f,",,38.4,"38.4f,",,
39.521,39.5,"39.5f,",,38.6,"38.6f,",,
39.727,39.7,"39.7f,",,38.8,"38.8f,",,
39.958,40,"40f,",,39.1,"39.1f,",,
40.121,40.1,"40.1f,",,39.2,"39.2f,",,
40.293,40.3,"40.3f,",,39.4,"39.4f,",,
40.463,40.5,"40.5f,",,39.6,"39.6f,",,
40.74,40.7,"40.7f,",,39.8,"39.8f,",,
41.131,41.1,"41.1f,",,40.2,"40.2f,",,
41.468,41.5,"41.5f,",,40.6,"40.6f,",,
41.91,41.9,"41.9f,",,41,"41f,",,
42.396,42.4,"42.4f,",,41.5,"41.5f,",,
42.686,42.7,"42.7f,",,41.8,"41.8f,",,
43.123,43.1,"43.1f,",,42.2,"42.2f,",,
43.596,43.6,"43.6f,",,42.7,"42.7f,",,
43.911,43.9,"43.9f,",,43,"43f,",,
44.169,44.2,"44.2f,",,43.3,"43.3f,",,
44.452,44.5,"44.5f,",,43.6,"43.6f,",,
44.728,44.7,"44.7f,",,43.8,"43.8f,",,
45.042,45,"45f,",,44.1,"44.1f,",,
45.491,45.5,"45.5f,",,44.6,"44.6f,",,
45.913,45.9,"45.9f,",,45,"45f,",,
46.224,46.2,"46.2f,",,45.3,"45.3f,",,
46.534,46.5,"46.5f,",,45.6,"45.6f,",,
46.834,46.8,"46.8f,",,45.9,"45.9f,",,
47.131,47.1,"47.1f,",,46.2,"46.2f,",,
47.422,47.4,"47.4f,",,46.5,"46.5f,",,
47.716,47.7,"47.7f,",,46.8,"46.8f,",,
47.891,47.9,"47.9f,",,47,"47f,",,
48.303,48.3,"48.3f,",,47.4,"47.4f,",,
48.656,48.7,"48.7f,",,47.8,"47.8f,",,
49.104,49.1,"49.1f,",,48.2,"48.2f,",,
49.844,49.8,"49.8f,",,48.9,"48.9f,",,
50.287,50.3,"50.3f,",,49.4,"49.4f,",,
50.694,50.7,"50.7f,",,49.8,"49.8f,",,
51.014,51,"51f,",,50.1,"50.1f,",,
51.289,51.3,"51.3f,",,50.4,"50.4f,",,
51.569,51.6,"51.6f,",,50.7,"50.7f,",,
51.828,51.8,"51.8f,",,50.9,"50.9f,",,
52.116,52.1,"52.1f,",,51.2,"51.2f,",,
52.436,52.4,"52.4f,",,51.5,"51.5f,",,
52.744,52.7,"52.7f,",,51.8,"51.8f,",,
53.031,53,"53f,",,52.1,"52.1f,",,
53.394,53.4,"53.4f,",,52.5,"52.5f,",,
54.284,54.3,"54.3f,",,53.4,"53.4f,",,
54.446,54.4,"54.4f,",,53.5,"53.5f,",,
54.651,54.7,"54.7f,",,53.8,"53.8f,",,
54.926,54.9,"54.9f,",,54,"54f,",,
55.233,55.2,"55.2f,",,54.3,"54.3f,",,
55.513,55.5,"55.5f,",,54.6,"54.6f,",,
55.675,55.7,"55.7f,",,54.8,"54.8f,",,
56.1,56.1,"56.1f,",,55.2,"55.2f,",,
56.42,56.4,"56.4f,",,55.5,"55.5f,",,
56.756,56.8,"56.8f,",,55.9,"55.9f,",,
56.929,56.9,"56.9f,",,56,"56f,",,
57.113,57.1,"57.1f,",,56.2,"56.2f,",,
57.374,57.4,"57.4f,",,56.5,"56.5f,",,
57.664,57.7,"57.7f,",,56.8,"56.8f,",,
57.949,57.9,"57.9f,",,57,"57f,",,
58.118,58.1,"58.1f,",,57.2,"57.2f,",,
58.491,58.5,"58.5f,",,57.6,"57.6f,",,
58.771,58.8,"58.8f,",,57.9,"57.9f,",,
59.096,59.1,"59.1f,",,58.2,"58.2f,",,
59.464,59.5,"59.5f,",,58.6,"58.6f,",,
59.751,59.8,"59.8f,",,58.9,"58.9f,",,
60.042,60,"60f,",,59.1,"59.1f,",,
60.353,60.4,"60.4f,",,59.5,"59.5f,",,
60.655,60.7,"60.7f,",,59.8,"59.8f,",,
60.933,60.9,"60.9f,",,60,"60f,",,
61.232,61.2,"61.2f,",,60.3,"60.3f,",,
61.54,61.5,"61.5f,",,60.6,"60.6f,",,
61.862,61.9,"61.9f,",,61,"61f,",,
62.142,62.1,"62.1f,",,61.2,"61.2f,",,
62.441,62.4,"62.4f,",,61.5,"61.5f,",,
62.746,62.7,"62.7f,",,61.8,"61.8f,",,
63.018,63,"63f,",,62.1,"62.1f,",,
63.33,63.3,"63.3f,",,62.4,"62.4f,",,
63.658,63.7,"63.7f,",,62.8,"62.8f,",,
63.949,63.9,"63.9f,",,63,"63f,",,
64.12,64.1,"64.1f,",,63.2,"63.2f,",,
64.307,64.3,"64.3f,",,63.4,"63.4f,",,
64.578,64.6,"64.6f,",,63.7,"63.7f,",,
64.863,64.9,"64.9f,",,64,"64f,",,
65.143,65.1,"65.1f,",,64.2,"64.2f,",,
65.316,65.3,"65.3f,",,64.4,"64.4f,",,
65.698,65.7,"65.7f,",,64.8,"64.8f,",,
66.027,66,"66f,",,65.1,"65.1f,",,
66.358,66.4,"66.4f,",,65.5,"65.5f,",,
66.556,66.6,"66.6f,",,65.7,"65.7f,",,
66.728,66.7,"66.7f,",,65.8,"65.8f,",,
66.973,67,"67f,",,66.1,"66.1f,",,
67.271,67.3,"67.3f,",,66.4,"66.4f,",,
67.546,67.5,"67.5f,",,66.6,"66.6f,",,
67.714,67.7,"67.7f,",,66.8,"66.8f,",,
68.101,68.1,"68.1f,",,67.2,"67.2f,",,
68.428,68.4,"68.4f,",,67.5,"67.5f,",,
68.749,68.7,"68.7f,",,67.8,"67.8f,",,
68.918,68.9,"68.9f,",,68,"68f,",,
69.099,69.1,"69.1f,",,68.2,"68.2f,",,
69.389,69.4,"69.4f,",,68.5,"68.5f,",,
69.66,69.7,"69.7f,",,68.8,"68.8f,",,
69.942,69.9,"69.9f,",,69,"69f,",,
70.244,70.2,"70.2f,",,69.3,"69.3f,",,
70.514,70.5,"70.5f,",,69.6,"69.6f,",,
70.796,70.8,"70.8f,",,69.9,"69.9f,",,
71.12,71.1,"71.1f,",,70.2,"70.2f,",,
71.446,71.4,"71.4f,",,70.5,"70.5f,",,
71.732,71.7,"71.7f,",,70.8,"70.8f,",,
72.024,72,"72f,",,71.1,"71.1f,",,
72.321,72.3,"72.3f,",,71.4,"71.4f,",,
72.629,72.6,"72.6f,",,71.7,"71.7f,",,
72.95,73,"73f,",,72.1,"72.1f,",,
73.266,73.3,"73.3f,",,72.4,"72.4f,",,
73.553,73.6,"73.6f,",,72.7,"72.7f,",,
73.876,73.9,"73.9f,",,73,"73f,",,
74.302,74.3,"74.3f,",,73.4,"73.4f,",,
74.784,74.8,"74.8f,",,73.9,"73.9f,",,
75.304,75.3,"75.3f,",,74.4,"74.4f,",,
75.628,75.6,"75.6f,",,74.7,"74.7f,",,
76.236,76.2,"76.2f,",,75.3,"75.3f,",,
76.715,76.7,"76.7f,",,75.8,"75.8f,",,
77.124,77.1,"77.1f,",,76.2,"76.2f,",,
77.634,77.6,"77.6f,",,76.7,"76.7f,",,
77.932,77.9,"77.9f,",,77,"77f,",,
78.529,78.5,"78.5f,",,77.6,"77.6f,",,
79.071,79.1,"79.1f,",,78.2,"78.2f,",,
79.551,79.6,"79.6f,",,78.7,"78.7f,",,
80.018,80,"80f,",,79.1,"79.1f,",,
80.193,80.2,"80.2f,",,79.3,"79.3f,",,
80.494,80.5,"80.5f,",,79.6,"79.6f,",,
81.034,81,"81f,",,80.1,"80.1f,",,
81.327,81.3,"81.3f,",,80.4,"80.4f,",,
81.666,81.7,"81.7f,",,80.8,"80.8f,",,
81.965,82,"82f,",,81.1,"81.1f,",,
82.262,82.3,"82.3f,",,81.4,"81.4f,",,
82.572,82.6,"82.6f,",,81.7,"81.7f,",,
82.869,82.9,"82.9f,",,82,"82f,",,
83.181,83.2,"83.2f,",,82.3,"82.3f,",,
83.489,83.5,"83.5f,",,82.6,"82.6f,",,
